Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Customer_Register,Chrome 131.0.0.0,,,23-11-2024 20:39:19,23-11-2024 20:47:36,8m - 16.302s,FAILED
,,,,,,,
Test Cases/Customer Register/CR_Leave required fields blank,Chrome 131.0.0.0,,,23-11-2024 20:39:20,23-11-2024 20:40:22,1m - 2.742s,PASSED
openBrowser(url),Chrome 131.0.0.0,,,23-11-2024 20:39:20,23-11-2024 20:39:58,37.254s,PASSED
"click(findTestObject(""Customer_Register/a_Register""))",Chrome 131.0.0.0,,,23-11-2024 20:39:58,23-11-2024 20:40:05,7.258s,PASSED
"setText(findTestObject(""Customer_Register/input_Full Name""), fullname)",Chrome 131.0.0.0,,,23-11-2024 20:40:05,23-11-2024 20:40:06,1.057s,PASSED
"setText(findTestObject(""Customer_Register/input_Company Name""), company_name)",Chrome 131.0.0.0,,,23-11-2024 20:40:06,23-11-2024 20:40:07,0.664s,PASSED
"setText(findTestObject(""Customer_Register/input_Email Address""), email_address)",Chrome 131.0.0.0,,,23-11-2024 20:40:07,23-11-2024 20:40:07,0.705s,PASSED
"setText(findTestObject(""Customer_Register/input_Phone Number""), phone_number)",Chrome 131.0.0.0,,,23-11-2024 20:40:07,23-11-2024 20:40:08,0.851s,PASSED
"setText(findTestObject(""Customer_Register/textarea_Address""), address)",Chrome 131.0.0.0,,,23-11-2024 20:40:08,23-11-2024 20:40:09,0.780s,PASSED
"setText(findTestObject(""Customer_Register/input_Country""), country)",Chrome 131.0.0.0,,,23-11-2024 20:40:09,23-11-2024 20:40:10,0.784s,PASSED
"setText(findTestObject(""Customer_Register/input_City""), city)",Chrome 131.0.0.0,,,23-11-2024 20:40:10,23-11-2024 20:40:10,0.764s,PASSED
"setText(findTestObject(""Customer_Register/input_State""), state)",Chrome 131.0.0.0,,,23-11-2024 20:40:10,23-11-2024 20:40:11,0.720s,PASSED
"setText(findTestObject(""Customer_Register/input_Zip Code""), zip_code)",Chrome 131.0.0.0,,,23-11-2024 20:40:11,23-11-2024 20:40:12,0.690s,PASSED
"setText(findTestObject(""Customer_Register/input_Password""), password)",Chrome 131.0.0.0,,,23-11-2024 20:40:12,23-11-2024 20:40:13,0.747s,PASSED
"setText(findTestObject(""Customer_Register/input_Retype Password""), repassword)",Chrome 131.0.0.0,,,23-11-2024 20:40:13,23-11-2024 20:40:13,0.776s,PASSED
"fullName = getAttribute(findTestObject(""Customer_Register/input_Full Name""), ""value"")",Chrome 131.0.0.0,,,23-11-2024 20:40:13,23-11-2024 20:40:14,0.321s,PASSED
"emailAddress = getAttribute(findTestObject(""Customer_Register/input_Email Address""), ""value"")",Chrome 131.0.0.0,,,23-11-2024 20:40:14,23-11-2024 20:40:14,0.281s,PASSED
"phoneNumber = getAttribute(findTestObject(""Customer_Register/input_Phone Number""), ""value"")",Chrome 131.0.0.0,,,23-11-2024 20:40:14,23-11-2024 20:40:14,0.311s,PASSED
"address = getText(findTestObject(""Customer_Register/textarea_Address""))",Chrome 131.0.0.0,,,23-11-2024 20:40:14,23-11-2024 20:40:15,0.314s,PASSED
"country = getAttribute(findTestObject(""Customer_Register/input_Country""), ""value"")",Chrome 131.0.0.0,,,23-11-2024 20:40:15,23-11-2024 20:40:15,0.297s,PASSED
"city = getAttribute(findTestObject(""Customer_Register/input_City""), ""value"")",Chrome 131.0.0.0,,,23-11-2024 20:40:15,23-11-2024 20:40:15,0.306s,PASSED
"state = getAttribute(findTestObject(""Customer_Register/input_State""), ""value"")",Chrome 131.0.0.0,,,23-11-2024 20:40:15,23-11-2024 20:40:16,0.296s,PASSED
"zipCode = getAttribute(findTestObject(""Customer_Register/input_Zip Code""), ""value"")",Chrome 131.0.0.0,,,23-11-2024 20:40:16,23-11-2024 20:40:16,0.294s,PASSED
