Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Customer_Login,Chrome 131.0.0.0,,,23-11-2024 21:23:52,23-11-2024 21:34:13,10m - 20.435s,FAILED
,,,,,,,
Test Cases/Customer Login/CL_Email address and password cannot be blank,Chrome 131.0.0.0,,,23-11-2024 21:23:53,23-11-2024 21:25:45,1m - 52.560s,PASSED
openBrowser(url),Chrome 131.0.0.0,,,23-11-2024 21:23:53,23-11-2024 21:25:10,1m - 17.117s,PASSED
"click(findTestObject(""Customer_Login/a_Login""))",Chrome 131.0.0.0,,,23-11-2024 21:25:10,23-11-2024 21:25:22,11.344s,PASSED
"setText(findTestObject(""Customer_Login/input_Email Address""), email_address)",Chrome 131.0.0.0,,,23-11-2024 21:25:22,23-11-2024 21:25:37,15.058s,PASSED
"setText(findTestObject(""Customer_Login/input_Password""), password)",Chrome 131.0.0.0,,,23-11-2024 21:25:37,23-11-2024 21:25:37,0.784s,PASSED
"click(findTestObject(""Customer_Login/btn_Login_form1""))",Chrome 131.0.0.0,,,23-11-2024 21:25:37,23-11-2024 21:25:43,5.985s,PASSED
"if (email_address == """" || password == """")",Chrome 131.0.0.0,,,23-11-2024 21:25:43,23-11-2024 21:25:44,0.784s,PASSED
delay(1),Chrome 131.0.0.0,,,23-11-2024 21:25:44,23-11-2024 21:25:45,1.058s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,23-11-2024 21:25:45,23-11-2024 21:25:45,0.034s,PASSED
,,,,,,,
Test Cases/Customer Login/CL_Email address format,Chrome 131.0.0.0,,,23-11-2024 21:25:45,23-11-2024 21:27:01,1m - 15.271s,FAILED
openBrowser(url),Chrome 131.0.0.0,,,23-11-2024 21:25:46,23-11-2024 21:26:40,53.872s,PASSED
"click(findTestObject(""Customer_Login/a_Login""))",Chrome 131.0.0.0,,,23-11-2024 21:26:40,23-11-2024 21:26:49,9.325s,PASSED
"setText(findTestObject(""Customer_Login/input_Email Address""), email_address)",Chrome 131.0.0.0,,,23-11-2024 21:26:49,23-11-2024 21:26:50,1.085s,PASSED
"setText(findTestObject(""Customer_Login/input_Password""), password)",Chrome 131.0.0.0,,,23-11-2024 21:26:50,23-11-2024 21:26:51,0.812s,PASSED
