Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Payment,Chrome 131.0.0.0,,,07-12-2024 09:11:05,07-12-2024 09:23:36,12m - 30.597s,FAILED
,,,,,,,
Test Cases/Payment/PM_Verify login account before payment,Chrome 131.0.0.0,Displays a login request and redirects to the login page if the user is not logged into the account.,,07-12-2024 09:11:05,07-12-2024 09:12:06,1m - 0.815s,PASSED
"openBrowser(""http://shopbachhoaweb.wuaze.com/"")",Chrome 131.0.0.0,,,07-12-2024 09:11:06,07-12-2024 09:11:25,19.665s,PASSED
clickProductByIndex(6),Chrome 131.0.0.0,,,07-12-2024 09:11:25,07-12-2024 09:11:25,0.027s,PASSED
dynamicProduct = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,,,07-12-2024 09:11:25,07-12-2024 09:11:25,0.039s,PASSED
"xpath = ""(//a[contains(text(),'Product Details')])["" + index + ""]""",Chrome 131.0.0.0,,,07-12-2024 09:11:25,07-12-2024 09:11:25,0.011s,PASSED
"dynamicProduct.addProperty(""xpath"", EQUALS, xpath)",Chrome 131.0.0.0,,,07-12-2024 09:11:25,07-12-2024 09:11:25,0.048s,PASSED
click(dynamicProduct),Chrome 131.0.0.0,,,07-12-2024 09:11:25,07-12-2024 09:11:32,6.178s,PASSED
"click(findTestObject(""Payment/btn_Add to cart""))",Chrome 131.0.0.0,,,07-12-2024 09:11:32,07-12-2024 09:11:40,8.300s,PASSED
"click(findTestObject(""Payment/a_Home""))",Chrome 131.0.0.0,,,07-12-2024 09:11:40,07-12-2024 09:11:46,6.306s,PASSED
"click(findTestObject(""Payment/a_Cart""))",Chrome 131.0.0.0,,,07-12-2024 09:11:46,07-12-2024 09:11:52,5.560s,PASSED
"click(findTestObject(""Payment/a_Proceed to Checkout""))",Chrome 131.0.0.0,,,07-12-2024 09:11:52,07-12-2024 09:11:58,5.897s,PASSED
"verifyElementPresent(findTestObject(""Payment/a_Please login as customer to checkout""), 1)",Chrome 131.0.0.0,,,07-12-2024 09:11:58,07-12-2024 09:11:58,0.478s,PASSED
"click(findTestObject(""Payment/a_Please login as customer to checkout""))",Chrome 131.0.0.0,,,07-12-2024 09:11:58,07-12-2024 09:12:04,5.668s,PASSED
currentUrl = getUrl(),Chrome 131.0.0.0,,,07-12-2024 09:12:04,07-12-2024 09:12:04,0.085s,PASSED
"expectedUrl = ""http://shopbachhoaweb.wuaze.com/login.php""",Chrome 131.0.0.0,,,07-12-2024 09:12:04,07-12-2024 09:12:04,0.006s,PASSED
"verifyMatch(currentUrl, expectedUrl, false)",Chrome 131.0.0.0,,,07-12-2024 09:12:04,07-12-2024 09:12:04,0.127s,PASSED
delay(2),Chrome 131.0.0.0,,,07-12-2024 09:12:04,07-12-2024 09:12:06,2.052s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,07-12-2024 09:12:06,07-12-2024 09:12:06,0.052s,PASSED
,,,,,,,
"Test Cases/Payment/PM_Confirm after user login, redirect back to payment page",Chrome 131.0.0.0,"On the checkout page, redirect the user to the login page if they are not logged in. Then redirect them back to the checkout page to continue payment.",,07-12-2024 09:12:06,07-12-2024 09:13:23,1m - 16.783s,FAILED
openBrowser(url),Chrome 131.0.0.0,,,07-12-2024 09:12:07,07-12-2024 09:12:25,18.012s,PASSED
clickProductByIndex(6),Chrome 131.0.0.0,,,07-12-2024 09:12:25,07-12-2024 09:12:25,0.008s,PASSED
dynamicProduct = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,,,07-12-2024 09:12:25,07-12-2024 09:12:25,0.008s,PASSED
"xpath = ""(//a[contains(text(),'Product Details')])["" + index + ""]""",Chrome 131.0.0.0,,,07-12-2024 09:12:25,07-12-2024 09:12:25,0.008s,PASSED
"dynamicProduct.addProperty(""xpath"", EQUALS, xpath)",Chrome 131.0.0.0,,,07-12-2024 09:12:25,07-12-2024 09:12:25,0.007s,PASSED
click(dynamicProduct),Chrome 131.0.0.0,,,07-12-2024 09:12:25,07-12-2024 09:12:31,5.734s,PASSED
"click(findTestObject(""Payment/btn_Add to cart""))",Chrome 131.0.0.0,,,07-12-2024 09:12:31,07-12-2024 09:12:39,8.395s,PASSED
"click(findTestObject(""Payment/a_Home""))",Chrome 131.0.0.0,,,07-12-2024 09:12:39,07-12-2024 09:12:45,6.564s,PASSED
"click(findTestObject(""Payment/a_Cart""))",Chrome 131.0.0.0,,,07-12-2024 09:12:45,07-12-2024 09:12:52,6.498s,PASSED
"click(findTestObject(""Payment/a_Proceed to Checkout""))",Chrome 131.0.0.0,,,07-12-2024 09:12:52,07-12-2024 09:12:58,6.465s,PASSED
"verifyElementPresent(findTestObject(""Payment/a_Please login as customer to checkout""), 1)",Chrome 131.0.0.0,,,07-12-2024 09:12:58,07-12-2024 09:12:59,0.515s,PASSED
"click(findTestObject(""Payment/a_Please login as customer to checkout""))",Chrome 131.0.0.0,,,07-12-2024 09:12:59,07-12-2024 09:13:08,8.841s,PASSED
"setText(findTestObject(""Payment/input_Email Address""), email_address)",Chrome 131.0.0.0,,,07-12-2024 09:13:08,07-12-2024 09:13:10,2.287s,PASSED
"setText(findTestObject(""Payment/input_Password""), password)",Chrome 131.0.0.0,,,07-12-2024 09:13:10,07-12-2024 09:13:11,0.982s,PASSED
"click(findTestObject(""Payment/btn_Login""))",Chrome 131.0.0.0,,,07-12-2024 09:13:11,07-12-2024 09:13:23,11.584s,PASSED
currentUrl = getUrl(),Chrome 131.0.0.0,,,07-12-2024 09:13:23,07-12-2024 09:13:23,0.180s,PASSED
"expectedUrl = ""http://shopbachhoaweb.wuaze.com/checkout.php""",Chrome 131.0.0.0,,,07-12-2024 09:13:23,07-12-2024 09:13:23,0.004s,PASSED
"verifyMatch(currentUrl, expectedUrl, false)",Chrome 131.0.0.0,,,07-12-2024 09:13:23,07-12-2024 09:13:23,0.086s,FAILED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,07-12-2024 09:13:23,07-12-2024 09:13:23,0.006s,PASSED
,,,,,,,
Test Cases/Payment/PM_Check that the ordered product information is displayed correctly,Chrome 131.0.0.0,Check the accuracy of product information.,,07-12-2024 09:13:23,07-12-2024 09:15:29,2m - 5.890s,PASSED
openBrowser(url),Chrome 131.0.0.0,,,07-12-2024 09:13:24,07-12-2024 09:13:52,28.446s,PASSED
"click(findTestObject(""Payment/a_Login""))",Chrome 131.0.0.0,,,07-12-2024 09:13:52,07-12-2024 09:14:02,9.947s,PASSED
"setText(findTestObject(""Payment/input_Email Address""), email_address)",Chrome 131.0.0.0,,,07-12-2024 09:14:02,07-12-2024 09:14:03,0.920s,PASSED
"setText(findTestObject(""Payment/input_Password""), password)",Chrome 131.0.0.0,,,07-12-2024 09:14:03,07-12-2024 09:14:05,1.364s,PASSED
"click(findTestObject(""Payment/btn_Login""))",Chrome 131.0.0.0,,,07-12-2024 09:14:05,07-12-2024 09:14:14,9.691s,PASSED
clickProductByIndex(7),Chrome 131.0.0.0,,,07-12-2024 09:14:14,07-12-2024 09:14:14,0.009s,PASSED
dynamicProduct = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,,,07-12-2024 09:14:14,07-12-2024 09:14:14,0.006s,PASSED
"xpath = ""(//a[contains(text(),'Product Details')])["" + index + ""]""",Chrome 131.0.0.0,,,07-12-2024 09:14:14,07-12-2024 09:14:14,0.005s,PASSED
"dynamicProduct.addProperty(""xpath"", EQUALS, xpath)",Chrome 131.0.0.0,,,07-12-2024 09:14:14,07-12-2024 09:14:14,0.006s,PASSED
click(dynamicProduct),Chrome 131.0.0.0,,,07-12-2024 09:14:14,07-12-2024 09:14:27,12.687s,PASSED
"click(findTestObject(""Payment/btn_Add to cart""))",Chrome 131.0.0.0,,,07-12-2024 09:14:27,07-12-2024 09:14:36,9.332s,PASSED
"click(findTestObject(""Payment/a_Home""))",Chrome 131.0.0.0,,,07-12-2024 09:14:36,07-12-2024 09:14:45,9.094s,PASSED
clickProductByIndex(8),Chrome 131.0.0.0,,,07-12-2024 09:14:45,07-12-2024 09:14:45,0.005s,PASSED
dynamicProduct = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,,,07-12-2024 09:14:45,07-12-2024 09:14:45,0.002s,PASSED
"xpath = ""(//a[contains(text(),'Product Details')])["" + index + ""]""",Chrome 131.0.0.0,,,07-12-2024 09:14:45,07-12-2024 09:14:45,0.002s,PASSED
"dynamicProduct.addProperty(""xpath"", EQUALS, xpath)",Chrome 131.0.0.0,,,07-12-2024 09:14:45,07-12-2024 09:14:45,0.002s,PASSED
click(dynamicProduct),Chrome 131.0.0.0,,,07-12-2024 09:14:45,07-12-2024 09:14:51,5.817s,PASSED
"click(findTestObject(""Payment/btn_Add to cart""))",Chrome 131.0.0.0,,,07-12-2024 09:14:51,07-12-2024 09:15:01,9.557s,PASSED
"click(findTestObject(""Payment/a_Home""))",Chrome 131.0.0.0,,,07-12-2024 09:15:01,07-12-2024 09:15:07,6.225s,PASSED
"click(findTestObject(""Payment/a_Cart""))",Chrome 131.0.0.0,,,07-12-2024 09:15:07,07-12-2024 09:15:13,6.387s,PASSED
cartItems = [],Chrome 131.0.0.0,,,07-12-2024 09:15:13,07-12-2024 09:15:13,0.004s,PASSED
driver = getWebDriver(),Chrome 131.0.0.0,,,07-12-2024 09:15:13,07-12-2024 09:15:13,0.061s,PASSED
"cartProductRows = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 131.0.0.0,,,07-12-2024 09:15:13,07-12-2024 09:15:14,0.331s,PASSED
"for ([i = 1, i < cartProductRows.size() - 1, (i++)])",Chrome 131.0.0.0,,,07-12-2024 09:15:14,07-12-2024 09:15:17,3.662s,PASSED
println(cartItems.size()),Chrome 131.0.0.0,,,07-12-2024 09:15:17,07-12-2024 09:15:17,0.005s,PASSED
"click(findTestObject(""Payment/a_Proceed to Checkout""))",Chrome 131.0.0.0,,,07-12-2024 09:15:17,07-12-2024 09:15:24,6.225s,PASSED
checkoutItems = [],Chrome 131.0.0.0,,,07-12-2024 09:15:24,07-12-2024 09:15:24,0.004s,PASSED
"checkoutProductRows = driver.findElements(By.xpath(""(//table)[1]/tbody/tr""))",Chrome 131.0.0.0,,,07-12-2024 09:15:24,07-12-2024 09:15:24,0.433s,PASSED
println(checkoutProductRows.size()),Chrome 131.0.0.0,,,07-12-2024 09:15:24,07-12-2024 09:15:24,0.002s,PASSED
"for ([i = 1, i < checkoutProductRows.size() - 2, (i++)])",Chrome 131.0.0.0,,,07-12-2024 09:15:24,07-12-2024 09:15:29,4.646s,PASSED
println(checkoutItems.size()),Chrome 131.0.0.0,,,07-12-2024 09:15:29,07-12-2024 09:15:29,0.000s,PASSED
"assert cartItems.size() != checkoutItems.size() : ""Tổng số dòng sản phẩm không khớp!""",Chrome 131.0.0.0,,,07-12-2024 09:15:29,07-12-2024 09:15:29,0.009s,PASSED
"for ([i = 0, i < cartItems.size(), (i++)])",Chrome 131.0.0.0,,,07-12-2024 09:15:29,07-12-2024 09:15:29,0.075s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,07-12-2024 09:15:29,07-12-2024 09:15:29,0.004s,PASSED
,,,,,,,
Test Cases/Payment/PM_Check final order value calculation,Chrome 131.0.0.0,"Calculate the value of the order including subtotal, shipping fee and total order amount.",,07-12-2024 09:15:29,07-12-2024 09:17:26,1m - 57.117s,FAILED
openBrowser(url),Chrome 131.0.0.0,,,07-12-2024 09:15:30,07-12-2024 09:16:12,42.523s,PASSED
"click(findTestObject(""Payment/a_Login""))",Chrome 131.0.0.0,,,07-12-2024 09:16:12,07-12-2024 09:16:19,7.243s,PASSED
"setText(findTestObject(""Payment/input_Email Address""), email_address)",Chrome 131.0.0.0,,,07-12-2024 09:16:19,07-12-2024 09:16:21,1.211s,PASSED
"setText(findTestObject(""Payment/input_Password""), password)",Chrome 131.0.0.0,,,07-12-2024 09:16:21,07-12-2024 09:16:22,1.794s,PASSED
"click(findTestObject(""Payment/btn_Login""))",Chrome 131.0.0.0,,,07-12-2024 09:16:22,07-12-2024 09:16:31,8.574s,PASSED
clickProductByIndex(7),Chrome 131.0.0.0,,,07-12-2024 09:16:31,07-12-2024 09:16:31,0.005s,PASSED
dynamicProduct = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,,,07-12-2024 09:16:31,07-12-2024 09:16:31,0.005s,PASSED
"xpath = ""(//a[contains(text(),'Product Details')])["" + index + ""]""",Chrome 131.0.0.0,,,07-12-2024 09:16:31,07-12-2024 09:16:31,0.003s,PASSED
"dynamicProduct.addProperty(""xpath"", EQUALS, xpath)",Chrome 131.0.0.0,,,07-12-2024 09:16:31,07-12-2024 09:16:31,0.008s,PASSED
click(dynamicProduct),Chrome 131.0.0.0,,,07-12-2024 09:16:31,07-12-2024 09:16:37,5.804s,PASSED
"click(findTestObject(""Payment/btn_Add to cart""))",Chrome 131.0.0.0,,,07-12-2024 09:16:37,07-12-2024 09:16:45,8.056s,PASSED
"click(findTestObject(""Payment/a_Home""))",Chrome 131.0.0.0,,,07-12-2024 09:16:45,07-12-2024 09:16:51,5.829s,PASSED
clickProductByIndex(8),Chrome 131.0.0.0,,,07-12-2024 09:16:51,07-12-2024 09:16:51,0.002s,PASSED
dynamicProduct = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,,,07-12-2024 09:16:51,07-12-2024 09:16:51,0.001s,PASSED
"xpath = ""(//a[contains(text(),'Product Details')])["" + index + ""]""",Chrome 131.0.0.0,,,07-12-2024 09:16:51,07-12-2024 09:16:51,0.004s,PASSED
"dynamicProduct.addProperty(""xpath"", EQUALS, xpath)",Chrome 131.0.0.0,,,07-12-2024 09:16:51,07-12-2024 09:16:51,0.003s,PASSED
click(dynamicProduct),Chrome 131.0.0.0,,,07-12-2024 09:16:51,07-12-2024 09:16:57,6.094s,PASSED
"click(findTestObject(""Payment/btn_Add to cart""))",Chrome 131.0.0.0,,,07-12-2024 09:16:57,07-12-2024 09:17:03,5.888s,PASSED
"click(findTestObject(""Payment/a_Home""))",Chrome 131.0.0.0,,,07-12-2024 09:17:03,07-12-2024 09:17:09,6.504s,PASSED
"click(findTestObject(""Payment/a_Cart""))",Chrome 131.0.0.0,,,07-12-2024 09:17:09,07-12-2024 09:17:15,5.609s,PASSED
"click(findTestObject(""Payment/a_Proceed to Checkout""))",Chrome 131.0.0.0,,,07-12-2024 09:17:15,07-12-2024 09:17:21,6.529s,PASSED
driver = getWebDriver(),Chrome 131.0.0.0,,,07-12-2024 09:17:21,07-12-2024 09:17:21,0.005s,PASSED
"products = driver.findElements(By.xpath(""(//table)[1]/tbody/tr""))",Chrome 131.0.0.0,,,07-12-2024 09:17:21,07-12-2024 09:17:22,0.393s,PASSED
totalPrice = 0.0,Chrome 131.0.0.0,,,07-12-2024 09:17:22,07-12-2024 09:17:22,0.000s,PASSED
"for ([i = 1, i < products.size() - 3, (i++)])",Chrome 131.0.0.0,,,07-12-2024 09:17:22,07-12-2024 09:17:25,2.906s,PASSED
"println(""Total Price of products: "" + totalPrice)",Chrome 131.0.0.0,,,07-12-2024 09:17:25,07-12-2024 09:17:25,0.015s,PASSED
"sSubTotal = getText(findTestObject(""Payment/th_Sub Total"")).split("" "")[0]",Chrome 131.0.0.0,,,07-12-2024 09:17:25,07-12-2024 09:17:25,0.403s,PASSED
"subTotal = Double.parseDouble(sSubTotal.replace("","", """"))",Chrome 131.0.0.0,,,07-12-2024 09:17:25,07-12-2024 09:17:25,0.007s,PASSED
println(subTotal),Chrome 131.0.0.0,,,07-12-2024 09:17:25,07-12-2024 09:17:25,0.000s,PASSED
"sShippingCost = getText(findTestObject(""Payment/td_Shipping Cost"")).split("" "")[0]",Chrome 131.0.0.0,,,07-12-2024 09:17:25,07-12-2024 09:17:25,0.377s,PASSED
"shippingCost = Double.parseDouble(sShippingCost.replace("","", """"))",Chrome 131.0.0.0,,,07-12-2024 09:17:25,07-12-2024 09:17:25,0.003s,PASSED
println(shippingCost),Chrome 131.0.0.0,,,07-12-2024 09:17:25,07-12-2024 09:17:25,0.003s,PASSED
"sTotalOrder = getText(findTestObject(""Payment/th_Total"")).split("" "")[0]",Chrome 131.0.0.0,,,07-12-2024 09:17:25,07-12-2024 09:17:26,0.408s,PASSED
"totalOrder = Double.parseDouble(sTotalOrder.replace("","", """"))",Chrome 131.0.0.0,,,07-12-2024 09:17:26,07-12-2024 09:17:26,0.000s,PASSED
println(totalOrder),Chrome 131.0.0.0,,,07-12-2024 09:17:26,07-12-2024 09:17:26,0.006s,PASSED
EPSILON = 0.0001,Chrome 131.0.0.0,,,07-12-2024 09:17:26,07-12-2024 09:17:26,0.005s,PASSED
"assert Math.abs(totalPrice - subTotal) < EPSILON : ""Total amount does not match!""",Chrome 131.0.0.0,,,07-12-2024 09:17:26,07-12-2024 09:17:26,0.025s,PASSED
shipping = 0.00,Chrome 131.0.0.0,,,07-12-2024 09:17:26,07-12-2024 09:17:26,0.002s,PASSED
if (subTotal < 300000 - EPSILON),Chrome 131.0.0.0,,,07-12-2024 09:17:26,07-12-2024 09:17:26,0.044s,PASSED
else,Chrome 131.0.0.0,,,07-12-2024 09:17:26,07-12-2024 09:17:26,0.013s,PASSED
"assert Math.abs(shippingCost - shipping) < EPSILON : ""Shipping charges are incorrect!""",Chrome 131.0.0.0,,,07-12-2024 09:17:26,07-12-2024 09:17:26,0.007s,FAILED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,07-12-2024 09:17:26,07-12-2024 09:17:26,0.000s,PASSED
,,,,,,,
Test Cases/Payment/PM_Check Billing Address and Shipping Address,Chrome 131.0.0.0,"Check that the “Billing Address” and “Shipping Address” fields are not blank. If they are blank, a red message will appear with a link to the page to update your billing and shipping addresses.",,07-12-2024 09:17:26,07-12-2024 09:19:22,1m - 55.591s,PASSED
openBrowser(url),Chrome 131.0.0.0,,,07-12-2024 09:17:27,07-12-2024 09:17:57,30.366s,PASSED
